date,weekday,weekday_num,month,year,season,is_school_holiday,is_mon,is_tue_thu,is_fri,rain_total,rain_peak,wind_peak,wind_mean,temp_min,temp_mean,humidity_max,snow_total,weather_risk,car_est_min,train_planned_journey_min,train_actual_journey_min,train_delay_arr_median_s,train_on_time_pct,train_cancelled_pct,train_sched_min,car_faster_than_train
2021-03-01,Monday,0,3,2021,Spring,False,1,0,0,0.0,0.0,11.3,10.225,1.2,1.475,96.0,0.0,0,76.2,58.5,56.925,-25.0,1.0,0.0,58.5,0
2021-03-02,Tuesday,1,3,2021,Spring,False,0,1,0,0.0,0.0,8.9,8.35,1.5,1.7,91.0,0.0,0,80.3,58.5,59.491666666666674,53.0,0.8333333333333334,0.0,58.5,0
2021-03-03,Wednesday,2,3,2021,Spring,False,0,0,0,0.0,0.0,8.9,7.4750000000000005,4.6,4.925,93.0,0.0,0,71.4,58.5,54.88333333333333,-73.0,1.0,0.0,58.5,0
2021-03-04,Thursday,3,3,2021,Spring,False,0,1,0,0.9,0.5,7.5,5.7,4.2,4.475,100.0,0.0,1,81.5,58.5,59.108333333333334,60.5,0.8333333333333334,0.0,58.5,0
2021-03-05,Friday,4,3,2021,Spring,False,0,0,1,0.0,0.0,16.7,15.25,0.6,1.775,91.0,0.0,0,68.4,58.5,56.266666666666666,-36.5,0.8333333333333334,0.0,58.5,0
2021-03-08,Monday,0,3,2021,Spring,False,1,0,0,0.0,0.0,8.4,6.8999999999999995,-2.2,-1.525,88.0,0.0,1,81.5,58.5,56.69166666666666,-90.0,1.0,0.0,58.5,0
2021-03-09,Tuesday,1,3,2021,Spring,False,0,1,0,1.0,0.4,15.3,14.8,3.5,3.625,92.0,0.0,0,80.3,58.5,57.516666666666666,-57.0,1.0,0.0,58.5,0
2021-03-10,Wednesday,2,3,2021,Spring,False,0,0,0,0.0,0.0,14.5,12.875,3.2,3.5250000000000004,92.0,0.0,0,71.4,58.5,57.29166666666667,-76.0,1.0,0.0,58.5,0
2021-03-11,Thursday,3,3,2021,Spring,False,0,1,0,0.7,0.3,39.5,37.825,9.2,9.95,86.0,0.0,0,79.1,58.5,57.2,-96.5,1.0,0.0,58.5,0
2021-03-12,Friday,4,3,2021,Spring,False,0,0,1,0.0,0.0,25.5,24.225,4.9,5.125,81.0,0.0,0,68.4,58.5,56.44166666666666,-83.5,1.0,0.0,58.5,0
2021-03-15,Monday,0,3,2021,Spring,False,1,0,0,0.3,0.3,18.4,15.625,4.8,5.4,95.0,0.0,0,76.2,58.5,56.241666666666674,-94.5,1.0,0.0,58.5,0
2021-03-16,Tuesday,1,3,2021,Spring,False,0,1,0,0.1,0.1,13.5,13.15,4.6,4.75,89.0,0.0,0,80.3,58.5,59.63333333333334,34.0,1.0,0.0,58.5,0
2021-03-17,Wednesday,2,3,2021,Spring,False,0,0,0,0.0,0.0,12.7,10.649999999999999,3.8,4.325,95.0,0.0,0,71.4,58.5,56.375,-110.5,1.0,0.0,58.5,0
2021-03-18,Thursday,3,3,2021,Spring,False,0,1,0,0.0,0.0,6.6,5.525,0.3,0.975,96.0,0.0,0,79.1,58.5,56.3,-92.0,1.0,0.0,58.5,0
2021-03-19,Friday,4,3,2021,Spring,False,0,0,1,0.0,0.0,16.3,15.850000000000001,0.4,1.325,94.0,0.0,0,68.4,58.5,56.66666666666667,-71.5,1.0,0.0,58.5,0
2021-03-22,Monday,0,3,2021,Spring,False,1,0,0,0.0,0.0,12.8,11.325,3.9,4.425,93.0,0.0,0,76.2,58.5,58.8,-27.0,0.8333333333333334,0.0,58.5,0
2021-03-23,Tuesday,1,3,2021,Spring,False,0,1,0,0.0,0.0,12.7,12.274999999999999,4.2,4.6,89.0,0.0,0,80.3,58.5,57.50833333333334,-87.5,1.0,0.0,58.5,0
2021-03-24,Wednesday,2,3,2021,Spring,False,0,0,0,0.0,0.0,13.2,11.6,3.5,4.125,90.0,0.0,0,71.4,58.5,57.22500000000001,-67.5,1.0,0.0,58.5,0
2021-03-25,Thursday,3,3,2021,Spring,False,0,1,0,0.0,0.0,13.0,10.375,5.5,6.15,92.0,0.0,0,79.1,58.5,56.483333333333334,-82.0,1.0,0.0,58.5,0
2021-03-26,Friday,4,3,2021,Spring,False,0,0,1,0.0,0.0,17.3,16.575,6.1,6.6,86.0,0.0,0,68.4,58.5,56.983333333333334,-56.0,1.0,0.0,58.5,0
2021-03-29,Monday,0,3,2021,Spring,False,1,0,0,0.0,0.0,18.4,18.05,7.6,8.05,76.0,0.0,0,76.2,58.5,56.40833333333333,-87.5,1.0,0.0,58.5,0
2021-03-30,Tuesday,1,3,2021,Spring,False,0,1,0,0.0,0.0,6.9,6.325,4.0,5.025,86.0,0.0,0,80.3,58.5,56.666666666666664,-64.0,1.0,0.0,58.5,0
2021-03-31,Wednesday,2,3,2021,Spring,False,0,0,0,0.0,0.0,8.8,8.675,8.3,9.225,76.0,0.0,0,71.4,58.5,56.05833333333334,-82.5,1.0,0.0,58.5,0
2021-04-01,Thursday,3,4,2021,Spring,False,0,1,0,0.0,0.0,8.4,6.975,6.6,8.025,89.0,0.0,0,79.1,58.5,55.858333333333334,-84.5,1.0,0.0,58.5,0
