Maand;Link naar data
2021-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202104.csv
2021-05;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202105.csv
2021-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202107.csv
2021-11;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202111.csv
2022-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202202.csv
2022-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202203.csv
2022-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202206.csv
2022-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202208.csv
2022-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202209.csv
2022-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202210.csv
2022-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202212.csv
2023-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202301.csv
2023-05;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202305.csv
2023-11;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202311.csv
2024-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202406.csv
2024-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202412.csv
2025-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202507.csv
2025-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202508.csv
2026-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202602.csv
2014-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201401.csv
2014-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201402.csv
2014-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201407.csv
2014-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201408.csv
2015-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201502.csv
2015-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201506.csv
2015-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201508.csv
2016-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201601.csv
2016-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201606.csv
2016-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201607.csv
2016-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201608.csv
2016-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201612.csv
2017-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201702.csv
2017-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201704.csv
2017-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201708.csv
2017-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201709.csv
2017-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201710.csv
2018-02;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201802.csv
2018-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201803.csv
2018-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201804.csv
2018-05;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201805.csv
2018-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201808.csv
2018-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201809.csv
2018-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201810.csv
2018-11;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201811.csv
2019-05;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201905.csv
2019-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_201907.csv
2020-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202001.csv
2020-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202004.csv
2020-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202009.csv
2021-08;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202108.csv
2022-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202201.csv
2022-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202204.csv
2022-05;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202205.csv
2023-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202306.csv
2023-07;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202307.csv
2023-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202309.csv
2023-12;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202312.csv
2024-01;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202401.csv
2024-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202403.csv
2024-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202404.csv
2024-09;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202409.csv
2024-10;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202410.csv
2024-11;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202411.csv
2025-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202503.csv
2025-06;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202506.csv
2026-03;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202603.csv
2026-04;https://fr.ftp.opendatasoft.com/infrabel/PunctualityHistory/Data_raw_punctuality_202604.csv
