datum;weekdag_naam;is_werkdag;maand;auto_reistijd_min;auto_reistijd_p85_min;vertraging_min;drukte_voertuigen;reistijd_index;tunnel_vc;tunnel_drukte;schoolvakantie;vakantie_naam;feestdag;feestdag_naam;pendeldag;seizoen;ring_bezetting;file_ring_min;reistijd_gm_min;vertrek_gent
2025-03-16;zondag;False;3;6.3;6.3;0.0;1334;1.0;0.257682837627618;1334.0;False;;False;;False;lente;0.257682837627618;0.1;60.1;07:59
2025-03-17;maandag;True;3;6.7;6.7;0.4;4950;1.061;0.9562338384826975;4950.333333333334;False;;False;;True;lente;0.9562338384826975;44.1;104.1;07:15
2025-03-18;dinsdag;True;3;6.7;6.7;0.4;4871;1.061;0.9409737603923063;4871.333333333333;False;;False;;True;lente;0.9409737603923063;40.7;100.7;07:19
2025-03-19;woensdag;True;3;5.7;6.4;-0.7;4904;0.894;0.94734822339209;4904.333333333334;False;;False;;True;lente;0.94734822339209;42.1;102.1;07:17
2025-03-20;donderdag;True;3;5.6;6.4;-0.7;4982;0.89;0.9623507474218838;4982.0;False;;False;;True;lente;0.9623507474218838;45.5;105.5;07:14
2025-03-21;vrijdag;True;3;6.9;7.0;0.6;4898;1.097;0.9461248416042528;4898.0;False;;False;;True;lente;0.9461248416042528;41.8;101.8;07:18
2025-03-22;zaterdag;False;3;6.4;6.4;0.0;2520;1.006;0.486841563044083;2520.3333333333335;False;;False;;False;lente;0.486841563044083;1.5;61.5;07:58
2025-03-23;zondag;False;3;6.3;6.3;0.0;1327;1.0;0.2563306788094821;1327.0;False;;False;;False;lente;0.2563306788094821;0.1;60.1;07:59
2025-03-24;maandag;True;3;5.2;6.3;-1.1;4502;0.824;0.8696312856068489;4502.0;False;;False;;True;lente;0.8696312856068489;27.4;87.4;07:32
2025-03-25;dinsdag;True;3;6.7;6.7;0.4;4981;1.06;0.9621575818764359;4981.0;False;;False;;True;lente;0.9621575818764359;45.5;105.5;07:14
2025-03-26;woensdag;True;3;6.7;6.7;0.4;4884;1.063;0.9433561354528316;4883.666666666667;False;;False;;True;lente;0.9433561354528316;41.2;101.2;07:18
2025-03-27;donderdag;True;3;6.7;6.7;0.3;4892;1.054;0.9449014598164154;4891.666666666666;False;;False;;True;lente;0.9449014598164154;41.5;101.5;07:18
2025-03-28;vrijdag;True;3;4.7;4.7;-1.6;4981;0.742;0.9621575818764359;4981.0;False;;False;;True;lente;0.9621575818764359;45.5;105.5;07:14
2025-03-29;zaterdag;False;3;6.4;6.4;0.0;2603;1.006;0.5027455262859675;2602.666666666667;False;;False;;False;lente;0.5027455262859675;1.8;61.8;07:58
2025-03-30;zondag;False;3;6.3;6.3;0.0;1261;1.0;0.24351736429476548;1260.6666666666667;False;;False;;False;lente;0.24351736429476548;0.0;60.0;08:00
2025-03-31;maandag;True;3;6.4;6.7;0.1;4832;1.018;0.933311527089536;4831.666666666667;False;;False;;True;lente;0.933311527089536;39.0;99.0;07:21
2025-04-01;dinsdag;True;4;5.6;6.4;-0.7;4852;0.885;0.9373036150287946;4852.333333333333;False;;False;;True;lente;0.9373036150287946;39.9;99.9;07:20
2025-04-02;woensdag;True;4;6.4;6.6;0.1;4852;1.016;0.9373036150287946;4852.333333333333;False;;False;;True;lente;0.9373036150287946;39.9;99.9;07:20
2025-04-03;donderdag;True;4;6.7;6.8;0.4;4969;1.061;0.9598395953310599;4969.0;False;;False;;True;lente;0.9598395953310599;44.9;104.9;07:15
2025-04-04;vrijdag;True;4;6.9;6.9;0.5;4857;1.083;0.9381406657257358;4856.666666666666;False;;False;;True;lente;0.9381406657257358;40.1;100.1;07:19
2025-04-05;zaterdag;False;4;6.4;6.4;0.1;2735;1.01;0.5282433782851019;2734.6666666666665;False;;False;;False;lente;0.5282433782851019;2.3;62.3;07:57
2025-04-06;zondag;False;4;6.3;6.3;0.0;1515;1.001;0.2926458013537041;1515.0;False;;False;;False;lente;0.2926458013537041;0.1;60.1;07:59
2025-04-07;maandag;True;4;6.8;6.8;0.5;4804;1.073;0.9279672803321417;4804.0;True;Paasvakantie;False;;False;lente;0.9279672803321417;37.9;97.9;07:22
2025-04-08;dinsdag;True;4;4.3;4.5;-2.1;4861;0.674;0.9389777164226771;4861.0;True;Paasvakantie;False;;False;lente;0.9389777164226771;40.2;100.2;07:19
2025-04-09;woensdag;True;4;6.8;6.9;0.5;4895;1.077;0.9456097334830581;4895.333333333333;True;Paasvakantie;False;;False;lente;0.9456097334830581;41.7;101.7;07:18
2025-04-10;donderdag;True;4;5.7;6.5;-0.6;4989;0.906;0.9637029062400198;4989.0;True;Paasvakantie;False;;False;lente;0.9637029062400198;45.8;105.8;07:14
2025-04-11;vrijdag;True;4;6.7;6.7;0.3;4460;1.054;0.861453944182884;4459.666666666667;True;Paasvakantie;False;;False;lente;0.861453944182884;26.2;86.2;07:33
2025-04-12;zaterdag;False;4;6.4;6.4;0.1;2720;1.008;0.5254102836185315;2720.0;True;Paasvakantie;False;;False;lente;0.5254102836185315;2.2;62.2;07:57
2025-04-13;zondag;False;4;6.3;6.3;0.0;1316;1.0;0.25420585780955424;1316.0;True;Paasvakantie;False;;False;lente;0.25420585780955424;0.1;60.1;07:59
2025-04-14;maandag;True;4;5.4;6.4;-0.9;4877;0.856;0.9420039766346957;4876.666666666667;True;Paasvakantie;False;;False;lente;0.9420039766346957;40.9;100.9;07:19
2025-04-15;dinsdag;True;4;5.5;6.3;-0.8;4144;0.872;0.8004136318213193;4143.666666666666;True;Paasvakantie;False;;False;lente;0.8004136318213193;18.1;78.1;07:41
2025-04-16;woensdag;True;4;6.9;6.9;0.6;4908;1.092;0.9481208855738819;4908.333333333333;True;Paasvakantie;False;;False;lente;0.9481208855738819;42.2;102.2;07:17
2025-04-17;donderdag;True;4;6.8;6.9;0.5;4866;1.08;0.9400079326650663;4866.333333333333;True;Paasvakantie;False;;False;lente;0.9400079326650663;40.5;100.5;07:19
2025-04-18;vrijdag;True;4;6.6;6.6;0.3;4063;1.041;0.7847672226400322;4062.666666666667;True;Paasvakantie;False;;False;lente;0.7847672226400322;16.4;76.4;07:43
2025-04-19;zaterdag;False;4;6.4;6.4;0.0;2408;1.004;0.46507824492360944;2407.6666666666665;True;Paasvakantie;False;;False;lente;0.46507824492360944;1.2;61.2;07:58
2025-04-20;zondag;False;4;6.3;6.3;0.0;1098;1.0;0.21203138038674318;1097.6666666666665;True;Paasvakantie;False;;False;lente;0.21203138038674318;0.0;60.0;08:00
2025-04-21;maandag;True;4;6.3;6.3;0.0;1322;1.0;0.2553004625670928;1321.6666666666667;True;Paasvakantie;True;Paasmaandag;False;lente;0.2553004625670928;0.1;60.1;07:59
2025-04-22;dinsdag;True;4;6.7;6.7;0.4;5008;1.057;0.9673086630883823;5007.666666666667;False;;False;;True;lente;0.9673086630883823;46.7;106.7;07:13
2025-04-23;woensdag;True;4;6.8;6.8;0.4;4956;1.071;0.957328443240236;4956.0;False;;False;;True;lente;0.957328443240236;44.3;104.3;07:15
2025-04-24;donderdag;True;4;6.6;6.6;0.3;4848;1.046;0.9365309528470025;4848.333333333333;False;;False;;True;lente;0.9365309528470025;39.7;99.7;07:20
2025-04-25;vrijdag;True;4;6.2;6.5;-0.2;4905;0.974;0.9474126119072392;4904.666666666667;False;;False;;True;lente;0.9474126119072392;42.1;102.1;07:17
2025-04-26;zaterdag;False;4;6.4;6.4;0.1;2829;1.01;0.5464653280723624;2829.0;False;;False;;False;lente;0.5464653280723624;2.7;62.7;07:57
2025-04-27;zondag;False;4;6.3;6.3;0.0;1495;1.001;0.288718101929595;1494.6666666666667;False;;False;;False;lente;0.288718101929595;0.1;60.1;07:59
2025-04-28;maandag;True;4;6.7;6.8;0.4;4866;1.062;0.9398791556347676;4865.666666666666;False;;False;;True;lente;0.9398791556347676;40.4;100.4;07:19
2025-04-29;dinsdag;True;4;6.7;6.7;0.4;4513;1.058;0.8716917180916275;4512.666666666667;False;;False;;True;lente;0.8716917180916275;27.7;87.7;07:32
2025-04-30;woensdag;True;4;4.6;4.6;-1.8;4765;0.719;0.9204338240596701;4765.0;False;;False;;True;lente;0.9204338240596701;36.4;96.4;07:23
2025-05-01;donderdag;True;5;6.4;6.4;0.1;2661;1.01;0.5139491279219508;2660.6666666666665;False;;True;Dag van de Arbeid;False;lente;0.5139491279219508;2.0;62.0;07:58
2025-05-02;vrijdag;True;5;6.5;6.5;0.1;3538;1.021;0.6833553112798376;3537.6666666666665;False;;False;;True;lente;0.6833553112798376;8.2;68.2;07:51
2025-05-03;zaterdag;False;5;6.4;6.4;0.0;2504;1.006;0.4837509143169151;2504.3333333333335;False;;False;;False;lente;0.4837509143169151;1.5;61.5;07:58
2025-05-04;zondag;False;5;6.3;6.3;0.0;1517;1.001;0.29303213244460014;1517.0;False;;False;;False;lente;0.29303213244460014;0.1;60.1;07:59
2025-05-05;maandag;True;5;6.8;6.8;0.5;4867;1.072;0.9402010982105143;4867.333333333333;False;;False;;True;lente;0.9402010982105143;40.5;100.5;07:19
2025-05-06;dinsdag;True;5;5.3;5.8;-1.0;4906;0.84;0.9476701659678366;4906.0;False;;False;;True;lente;0.9476701659678366;42.1;102.1;07:17
2025-05-07;woensdag;True;5;6.7;6.7;0.4;4904;1.062;0.94734822339209;4904.333333333333;False;;False;;True;lente;0.94734822339209;42.1;102.1;07:17
2025-05-08;donderdag;True;5;6.6;6.7;0.3;4749;1.05;0.9172787868173529;4748.666666666666;False;;False;;True;lente;0.9172787868173529;35.8;95.8;07:24
2025-05-09;vrijdag;True;5;5.7;6.5;-0.6;4901;0.902;0.946672143983022;4900.833333333333;False;;False;;True;lente;0.946672143983022;41.9;101.9;07:18
2025-05-10;zaterdag;False;5;6.4;6.4;0.0;2727;1.008;0.5267624424366675;2727.0;False;;False;;False;lente;0.5267624424366675;2.2;62.2;07:57
2025-05-11;zondag;False;5;6.3;6.3;0.0;1358;1.0;0.2622544222032204;1357.6666666666665;False;;False;;False;lente;0.2622544222032204;0.1;60.1;07:59
2025-05-12;maandag;True;5;6.5;6.6;0.2;4709;1.033;0.9096165535145827;4709.0;False;;False;;True;lente;0.9096165535145827;34.3;94.3;07:25
2025-05-13;dinsdag;True;5;5.6;6.4;-0.7;4641;0.885;0.8964169079089701;4640.666666666667;False;;False;;True;lente;0.8964169079089701;31.9;91.9;07:28
2025-05-14;woensdag;True;5;6.7;6.8;0.4;4808;1.062;0.9287399425139337;4808.0;False;;False;;True;lente;0.9287399425139337;38.1;98.1;07:21
2025-05-15;donderdag;True;5;6.7;6.7;0.4;4869;1.059;0.9405874293014104;4869.333333333334;False;;False;;True;lente;0.9405874293014104;40.6;100.6;07:19
2025-05-16;vrijdag;True;5;4.6;4.6;-1.7;4858;0.724;0.9383982197863332;4858.0;False;;False;;True;lente;0.9383982197863332;40.1;100.1;07:19
2025-05-17;zaterdag;False;5;6.4;6.4;0.1;2635;1.008;0.5090556007706017;2635.3333333333335;False;;False;;False;lente;0.5090556007706017;1.9;61.9;07:58
2025-05-18;zondag;False;5;6.3;6.3;0.0;1564;1.001;0.3020465245655063;1563.6666666666665;False;;False;;False;lente;0.3020465245655063;0.1;60.1;07:59
2025-05-19;maandag;True;5;6.7;6.7;0.4;4801;1.057;0.9273233951806484;4800.666666666667;False;;False;;True;lente;0.9273233951806484;37.8;97.8;07:22
2025-05-20;dinsdag;True;5;6.7;6.7;0.3;4724;1.053;0.9125784252114519;4724.333333333334;False;;False;;True;lente;0.9125784252114519;34.9;94.9;07:25
2025-05-21;woensdag;True;5;6.7;6.8;0.4;4833;1.061;0.9336334696652827;4833.333333333334;False;;False;;True;lente;0.9336334696652827;39.1;99.1;07:20
2025-05-22;donderdag;True;5;6.7;6.7;0.3;4888;1.05;0.9441287976346235;4887.666666666667;False;;False;;True;lente;0.9441287976346235;41.4;101.4;07:18
2025-05-23;vrijdag;True;5;6.9;6.9;0.5;4768;1.086;0.9209489321808647;4767.666666666667;False;;False;;True;lente;0.9209489321808647;36.5;96.5;07:23
2025-05-24;zaterdag;False;5;6.4;6.4;0.0;2735;1.007;0.528243378285102;2734.6666666666665;False;;False;;False;lente;0.528243378285102;2.3;62.3;07:57
2025-05-25;zondag;False;5;6.3;6.3;0.0;1364;1.0;0.2634134154759084;1363.6666666666667;False;;False;;False;lente;0.2634134154759084;0.1;60.1;07:59
2025-05-26;maandag;True;5;6.7;6.8;0.4;4448;1.065;0.8592003461526574;4448.0;False;;False;;True;lente;0.8592003461526574;25.8;85.8;07:34
2025-05-27;dinsdag;True;5;6.7;6.7;0.4;4634;1.058;0.8952257203787075;4634.5;False;;False;;True;lente;0.8952257203787075;31.7;91.7;07:28
2025-05-28;woensdag;True;5;4.6;4.6;-1.7;4795;0.724;0.9262287904231099;4795.0;False;;False;;True;lente;0.9262287904231099;37.6;97.6;07:22
2025-05-29;donderdag;True;5;6.4;6.4;0.0;2116;1.004;0.4086739056527965;2115.666666666667;False;;True;O.L.H. Hemelvaart;False;lente;0.4086739056527965;0.6;60.6;07:59
2025-05-30;vrijdag;True;5;6.4;6.4;0.1;3084;1.012;0.595786930676749;3084.3333333333335;False;;False;;True;lente;0.595786930676749;4.1;64.1;07:55
2025-05-31;zaterdag;False;5;6.3;6.3;0.0;2184;1.003;0.4218091627432598;2183.666666666667;False;;False;;False;lente;0.4218091627432598;0.7;60.7;07:59
2025-06-01;zondag;False;6;6.3;6.3;0.0;1389;1.001;0.2683713311424068;1389.3333333333333;False;;False;;False;zomer;0.2683713311424068;0.1;60.1;07:59
2025-06-02;maandag;True;6;6.7;6.7;0.4;4856;1.057;0.9380118886954372;4856.0;False;;False;;True;zomer;0.9380118886954372;40.0;100.0;07:20
2025-06-03;dinsdag;True;6;5.6;6.3;-0.8;4810;0.882;0.929190662119979;4810.333333333334;False;;False;;True;zomer;0.929190662119979;38.2;98.2;07:21
