date,drukte_voertuigen,geschatte_reistijd_min,geschatte_reistijd_tunnelkalibratie_min
2025-10-04,2453.5,72.0,72.0
2025-10-05,1619.5,61.2,61.2
2025-10-06,5783.5,115.0,115.0
2025-10-07,4448.0,97.7,97.7
2025-10-08,5523.5,111.6,111.6
2025-10-09,5885.5,116.3,116.3
2025-10-10,6104.0,119.1,119.1
2025-10-11,2999.0,79.0,79.0
2025-10-12,1537.0,60.2,60.2
2025-10-13,5704.5,114.0,114.0
2025-10-14,5836.5,115.7,115.7
2025-10-15,4959.5,104.4,104.4
2025-10-16,5778.0,114.9,114.9
2025-10-17,5953.0,117.2,117.2
2025-10-18,3032.0,79.5,79.5
2025-10-19,1861.5,64.3,64.3
2025-10-20,5687.5,113.8,113.8
2025-10-21,5572.0,112.3,112.3
2025-10-22,5757.5,114.7,114.7
2025-10-23,5839.5,115.7,115.7
2025-10-24,4615.0,99.9,99.9
2025-10-25,2817.5,76.7,76.7
2025-10-26,1652.0,61.6,61.6
2025-10-27,5843.0,115.8,115.8
2025-10-28,5695.5,113.9,113.9
2025-10-29,5961.5,117.3,117.3
2025-10-30,5958.5,117.2,117.2
2025-10-31,5330.5,109.1,109.1
2025-11-01,2242.0,69.3,69.3
2025-11-02,1304.0,60.0,60.0
2025-11-03,5936.5,117.0,117.0
2025-11-04,5586.0,112.4,112.4
2025-11-05,6050.0,118.4,118.4
2025-11-06,5810.0,115.3,115.3
2025-11-07,6008.0,117.9,117.9
2025-11-08,3125.5,80.7,80.7
2025-11-09,1485.0,60.0,60.0
2025-11-10,3811.0,89.5,89.5
2025-11-11,1856.5,64.3,64.3
2025-11-12,5211.5,107.6,107.6
2025-11-13,5782.5,115.0,115.0
2025-11-14,5976.5,117.5,117.5
2025-11-15,2795.5,76.4,76.4
2025-11-16,1516.5,60.0,60.0
2025-11-17,5734.0,114.4,114.4
2025-11-18,5088.0,106.0,106.0
2025-11-19,5025.5,105.2,105.2
2025-11-20,5726.5,114.3,114.3
2025-11-21,5797.5,115.2,115.2
2025-11-22,2779.0,76.2,76.2
2025-11-23,1194.0,60.0,60.0
2025-11-24,5554.0,112.0,112.0
2025-11-25,5433.0,110.5,110.5
2025-11-26,5672.0,113.6,113.6
2025-11-27,5903.0,116.5,116.5
2025-11-28,5998.5,117.8,117.8
2025-11-29,2988.0,78.9,78.9
2025-11-30,1737.0,62.7,62.7
2025-12-01,5612.5,112.8,112.8
2025-12-02,5613.0,112.8,112.8
2025-12-03,5854.5,115.9,115.9
2025-12-04,5699.5,113.9,113.9
2025-12-05,5793.5,115.1,115.1
2025-12-06,2521.0,72.9,72.9
2025-12-07,1165.0,60.0,60.0
2025-12-08,5600.5,112.6,112.6
2025-12-09,5325.5,109.1,109.1
2025-12-10,5924.5,116.8,116.8
2025-12-11,6025.5,118.1,118.1
2025-12-12,5965.5,117.3,117.3
2025-12-13,2740.0,75.7,75.7
2025-12-14,1275.0,60.0,60.0
2025-12-15,5771.5,114.8,114.8
2025-12-16,5844.5,115.8,115.8
2025-12-17,5895.0,116.4,116.4
2025-12-18,6196.5,120.0,120.0
2025-12-19,5797.0,115.2,115.2
2025-12-20,3034.5,79.5,79.5
2025-12-21,1361.5,60.0,60.0
2025-12-22,5169.0,107.1,107.1
2025-12-23,4752.5,101.7,101.7
2025-12-24,3084.5,80.1,80.1
2025-12-25,538.5,60.0,60.0
2025-12-26,2135.5,67.9,67.9
2025-12-27,1487.0,60.0,60.0
2025-12-28,967.0,60.0,60.0
2025-12-29,3421.0,84.5,84.5
2025-12-30,3364.5,83.8,83.8
2025-12-31,2440.0,71.8,71.8
